10;4037;1804;1480
60;830118;49173;16069
110;117645;109836;91149
160;228098;633973;38978
210;360189;802526;47035
260;658553;3052436;65669
310;1639376;719913;80429
360;1432236;855749;99328
410;1731419;987063;103918
460;1366969;1216697;137280
510;2165632;1384605;130783
560;6778315;2624880;194648
610;6660845;3069960;249743
660;8659197;4718182;199020
710;8431671;5605078;239118
760;8904480;7781589;201000
810;9257139;6641308;201237
860;9333864;7250085;159732
910;8903865;8328625;178380
960;9692976;10343526;246733
1010;8735806;10884119;227774
