10;3453;1794;793
60;183999;50425;7451
110;281569;120930;15220
160;661601;193434;11686
210;364396;242638;22850
260;1846644;868494;25335
310;1573222;617344;20094
360;1344731;952405;40536
410;5502282;2964472;45280
460;5886708;6894855;36331
510;10983396;3358445;146977
560;8879737;3577680;34999
610;5341020;3524734;374328
660;8295722;5235813;74269
710;11008960;6076598;77730
760;12315913;8049201;78802
810;9970087;6919339;93362
860;8632437;10366570;278800
910;21700090;15674932;96981
960;16026301;11300860;462571
1010;17164756;13153171;80795
