9;956;2116;690;1289
59;6823;593511;11733;23642
109;14563;2734701;3564913;35284
159;20139;13182312;241564;98476
209;89468;24425825;141607;49335
259;35549;45727940;219311;68235
309;35126;69322942;270097;58998
359;27042;99374876;400043;62565
409;32781;157598622;608588;114497
459;46846;202228476;634410;121396
509;69566;270116747;5133196;204889
559;99968;331302002;795633;104025
609;40068;478019223;1088214;160032
659;82232;630504374;930897;122646
709;50838;772499970;4307763;199566
759;228558;942380970;6887135;206649
809;76183;1132435489;7215469;247031
859;209405;1432007289;7680580;254729
909;101803;1479949467;2284777;190019
959;97381;1638698060;2025188;213301
1009;93284;1756137803;3466838;187485
